citing_paper,.out,time_unit,Species
"Silpa, FB 2012 Reflections of Virginia on the Manatee River HISTORICAL ARCHAEOLOGY",FERGUSON L 1992 UNCOMMON GROUND ARCH,2012,community 33
"Silpa, FB 2012 Reflections of Virginia on the Manatee River HISTORICAL ARCHAEOLOGY",SILLIMAN SW 2005 AM ANTIQUITY V70 P55,2012,community 6
"Silpa, FB 2012 Reflections of Virginia on the Manatee River HISTORICAL ARCHAEOLOGY",SINGLETON TA 1995 ANNU REV ANTHROPOL V24 P119,2012,community 33
"Weik, T 2012 Race and the Struggle for a Cosmopolitan Archaeology: Ongoing
   Controversies over the Representation and the Exhibition of Osceola HISTORICAL ARCHAEOLOGY",HALL M 2000 ARCHAEOLOGY MODERN W,2012,community 13
"Worth, JE 2012 Creolization in Southwest Florida: Cuban Fishermen and ""Spanish
   Indians,"" ca. 1766-1841 HISTORICAL ARCHAEOLOGY",FERGUSON L 1992 UNCOMMON GROUND ARCH,2012,community 33
"Huggett, J 2012 Core or Periphery? Digital Humanities from an Archaeological Perspective HISTORICAL SOCIAL RESEARCH-HISTORISCHE SOZIALFORSCHUNG",HARRISON R 2010 MODERNITY ARCHAEOLOG,2012,community 32
"Huggett, J 2012 Core or Periphery? Digital Humanities from an Archaeological Perspective HISTORICAL SOCIAL RESEARCH-HISTORISCHE SOZIALFORSCHUNG",THOMAS J 2004 ARCHAEOLOGY MODERNIT,2012,community 1
"Whitelaw, G 2012 Anthropology and History in the Southern African Iron Age AFRICAN STUDIES",HODDER I 1982 SYMBOLS ACTION ETHNO,2012,community 5
"Whitelaw, G 2012 Anthropology and History in the Southern African Iron Age AFRICAN STUDIES",HUFFMAN TN 1982 ANNU REV ANTHROPOL V11 P133 DOI 101146ANNUREVAN11100182001025,2012,community 10
"Whitelaw, G 2012 Anthropology and History in the Southern African Iron Age AFRICAN STUDIES",HUFFMAN THOMAS N 2007 HDB IRON AGE ARCHAEO,2012,community 10
"Whitelaw, G 2012 Anthropology and History in the Southern African Iron Age AFRICAN STUDIES",HUFFMAN TN 1986 ADV WORLD ARCHAEOLOG P291,2012,community 10
"Whitelaw, G 2012 Anthropology and History in the Southern African Iron Age AFRICAN STUDIES",HUFFMAN TN 2001 SO AFRICAN HUMANITIE V13 P19,2012,community 10
"Whitelaw, G 2012 Anthropology and History in the Southern African Iron Age AFRICAN STUDIES",INGOLD T 2000 PERCEPTION ENV ESSAY,2012,community 1
"Whitelaw, G 2012 Anthropology and History in the Southern African Iron Age AFRICAN STUDIES",KUPER A 1982 WIVES CATTLE BRIDEWE,2012,community 10
"Kuzmin, YV
   Yanshina, OV
   Fitzpatrick, SM
   Shubina, OA 2012 The Neolithic of the Kurile Islands (Russian Far East): Current State
   and Future Prospects JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY",ERLANDSON JM 2001 J ARCHAEOL RES V9 P287 DOI 101023A1013062712695,2012,community 2
"Kuzmin, YV
   Yanshina, OV
   Fitzpatrick, SM
   Shubina, OA 2012 The Neolithic of the Kurile Islands (Russian Far East): Current State
   and Future Prospects JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY",ERLANDSON J M 2006 J ISL COAST ARCHAEOL V1 P5 DOI DOI 10108015564890600639504,2012,community 2
"Cherry, JF
   Ryzewski, K
   Leppard, TP 2012 Multi-Period Landscape Survey and Site Risk Assessment on Montserrat,
   West Indies JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY",LIGHTFOOT KG 1995 AM ANTIQUITY V60 P199 DOI 102307282137,2012,community 6
"Casperson, MR 2012 The Importance of Birds in Ocean Bay Subsistence: Results from the Mink
   Island Site, Katmai National Park and Preserve, Alaska ARCTIC ANTHROPOLOGY",LYMAN RL 2008 CAMB MAN ARCHAEOL P1 DOI 101017CBO9780511813863,2012,community 4
"Wygal, BT
   Goebel, T 2012 Early Prehistoric Archaeology of the Middle Susitna Valley, Alaska ARCTIC ANTHROPOLOGY",MURRAY AS 2003 RADIAT MEAS V37 P377 DOI 101016S1350448703000532,2012,community 7
"Wygal, BT
   Goebel, T 2012 Early Prehistoric Archaeology of the Middle Susitna Valley, Alaska ARCTIC ANTHROPOLOGY",PRESCOTT JR 1994 RADIAT MEAS V23 P497 DOI 1010161350448794900868,2012,community 7
"Wygal, BT
   Goebel, T 2012 Early Prehistoric Archaeology of the Middle Susitna Valley, Alaska ARCTIC ANTHROPOLOGY",REIMER PJ 2004 RADIOCARBON V46 P1029,2012,community 14
"Sorensen, M
   Gullov, HC 2012 The Prehistory of Inuit in Northeast Greenland ARCTIC ANTHROPOLOGY",REIMER PJ 2004 RADIOCARBON V46 P1029,2012,community 14
"Rogers, A 2012 The transformation of urban waterscapes: documenting waterscape
   manipulation as an aspect of urban development in the Roman period REVUE BELGE DE PHILOLOGIE ET D HISTOIRE",TILLEY C 1994 PHENOMENOLOGY LANDSC,2012,community 1
"Voss, BL 2012 Status and Ceramics in Spanish Colonial Archaeology HISTORICAL ARCHAEOLOGY",VOSS BL 2008 ARCHAEOLOGY OF ETHNOGENESIS RACE AND SEXUALITY IN COLONIAL SAN FRANCISCO P1,2012,community 6
"Beranek, CM 2012 Ethnicity, Masculinity, and Lineage: The Cultural Biography of a
   Colonial Massachusetts Parcel of Land HISTORICAL ARCHAEOLOGY",BENDER BARBARA 1998 STONEHENGE MAKING SP,2012,community 1
"Beranek, CM 2012 Ethnicity, Masculinity, and Lineage: The Cultural Biography of a
   Colonial Massachusetts Parcel of Land HISTORICAL ARCHAEOLOGY",KOPYTOFF IGOR 1986 SOCIAL LIFE THINGS C P64 DOI DOI 101017CBO9780511819582,2012,community 1
"Beranek, CM 2012 Ethnicity, Masculinity, and Lineage: The Cultural Biography of a
   Colonial Massachusetts Parcel of Land HISTORICAL ARCHAEOLOGY",VOSS BL 2008 ARCHAEOLOGY OF ETHNOGENESIS RACE AND SEXUALITY IN COLONIAL SAN FRANCISCO P1,2012,community 6
"Cipolla, CN 2012 Textual Artifacts, Artifactual Texts: An Historical Archaeology of
   Brothertown Writing HISTORICAL ARCHAEOLOGY",INGOLD T 1993 WORLD ARCHAEOL V25 P152,2012,community 1
"Cipolla, CN 2012 Textual Artifacts, Artifactual Texts: An Historical Archaeology of
   Brothertown Writing HISTORICAL ARCHAEOLOGY",ORSER C 1996 HIST ARCHAEOLOGY MOD,2012,community 13
"Cipolla, CN 2012 Textual Artifacts, Artifactual Texts: An Historical Archaeology of
   Brothertown Writing HISTORICAL ARCHAEOLOGY",VOSS BL 2008 ARCHAEOLOGY OF ETHNOGENESIS RACE AND SEXUALITY IN COLONIAL SAN FRANCISCO P1,2012,community 6
"Gijanto, LA
   Horlings, RL 2012 Connecting African Diaspora and West African Historical Archaeologies HISTORICAL ARCHAEOLOGY",ORSER C 1996 HIST ARCHAEOLOGY MOD,2012,community 13
"Lindstrom, TC 2012 'I am the Walrus': Animal Identities and Merging with Animals -
   Exceptional Experiences? NORWEGIAN ARCHAEOLOGICAL REVIEW",INGOLD T 2000 PERCEPTION ENV ESSAY,2012,community 1
"Lindstrom, TC 2012 'I am the Walrus': Animal Identities and Merging with Animals -
   Exceptional Experiences? NORWEGIAN ARCHAEOLOGICAL REVIEW",WITMORE CL 2007 WORLD ARCHAEOL V39 P546 DOI 10108000438240701679411,2012,community 1
"Pawlowicz, M 2012 Modelling the Swahili past: the archaeology of Mikindani in southern
   coastal Tanzania AZANIA-ARCHAEOLOGICAL RESEARCH IN AFRICA",HORTON M 2000 SWAHILI SOCIAL LANDS,2012,community 19
"Pawlowicz, M 2012 Modelling the Swahili past: the archaeology of Mikindani in southern
   coastal Tanzania AZANIA-ARCHAEOLOGICAL RESEARCH IN AFRICA",HORTON M 1996 SHANGA ARCHAEOLOGY M,2012,community 19
"Pawlowicz, M 2012 Modelling the Swahili past: the archaeology of Mikindani in southern
   coastal Tanzania AZANIA-ARCHAEOLOGICAL RESEARCH IN AFRICA",KUSIMBA C M 1999 RISE FALL SWAHILI ST,2012,community 19
"Barber, IG 2012 Archaeological art debates and Polynesian images in place WORLD ARCHAEOLOGY",GELL ALFRED 1998 ART AGENCY ANTHR THE,2012,community 1
"Barber, IG 2012 Archaeological art debates and Polynesian images in place WORLD ARCHAEOLOGY",GOSDEN C 1999 WORLD ARCHAEOL V31 P169,2012,community 1
"Bednarik, RG 2012 An aetiology of hominin behaviour HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY",LATOUR BRUNO 1993 WE HAVE NEVER BEEN M,2012,community 1
"Finneran, N 2012 Hermits, Saints, and Snakes: The Archaeology of the Early Ethiopian
   Monastery in Wider Context INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES",FLEMING A 2006 CAMB ARCHAEOL J V16 P267 DOI 101017S0959774306000163,2012,community 1
"Finneran, N 2012 Hermits, Saints, and Snakes: The Archaeology of the Early Ethiopian
   Monastery in Wider Context INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES",TILLEY C 1994 PHENOMENOLOGY LANDSC,2012,community 1
"Korobov, D 2012 Early Medieval Settlement in Southern Russia: Changing Directions MEDIEVAL ARCHAEOLOGY",TRIGGER B G 1989 HIST ARCHAEOLOGICAL,2012,community 5
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",BARRETT JC 2009 J SOC ARCHAEOL V9 P275 DOI 1011771469605309338422,2012,community 1
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",BENDER BARBARA 1998 STONEHENGE MAKING SP,2012,community 1
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,2012,community 5
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",BOURDIEU PIERRE 1977 OUTLINE THEORY PRACT,2012,community 1
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",CLARKE D L 1968 ANAL ARCHAEOLOGY,2012,community 5
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",FLEMING A 2006 CAMB ARCHAEOL J V16 P267 DOI 101017S0959774306000163,2012,community 1
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",GELL ALFRED 1998 ART AGENCY ANTHR THE,2012,community 1
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",GIDDENS ANTHONY 1984 CONSTITUTION SOC,2012,community 1
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",GOSDEN C 1999 WORLD ARCHAEOL V31 P169,2012,community 1
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",LATOUR B 2005 REASSEMBLING SOCIAL,2012,community 1
"Mcclain, A 2012 Theory, Disciplinary Perspectives and the Archaeology of Later Medieval
   England MEDIEVAL ARCHAEOLOGY",TILLEY C 1994 PHENOMENOLOGY LANDSC,2012,community 1
"Laneman, M 2012 STONE-CIST GRAVE AT KASEKULA, WESTERN ESTONIA, IN THE LIGHT OF AMS DATES
   OF THE HUMAN BONES ESTONIAN JOURNAL OF ARCHAEOLOGY",RAMSEY CB 2009 RADIOCARBON V51 P337,2012,community 9
"Laneman, M 2012 STONE-CIST GRAVE AT KASEKULA, WESTERN ESTONIA, IN THE LIGHT OF AMS DATES
   OF THE HUMAN BONES ESTONIAN JOURNAL OF ARCHAEOLOGY",REIMER PJ 2009 RADIOCARBON V51 P1111,2012,community 9
"Murphy, EA
   Poblome, J 2012 Technical and Social Considerations of Tools from Roman-period Ceramic
   Workshops at Sagalassos (Southwest Turkey): Not Just Tools of the Trade? JOURNAL OF MEDITERRANEAN ARCHAEOLOGY",ARNOLD DEAN E 1985 CERAMIC THEORY CULTU,2012,community 17
"Murphy, EA
   Poblome, J 2012 Technical and Social Considerations of Tools from Roman-period Ceramic
   Workshops at Sagalassos (Southwest Turkey): Not Just Tools of the Trade? JOURNAL OF MEDITERRANEAN ARCHAEOLOGY",DOBRES MARCIA ANNE 2000 TECHNOLOGY SOCIAL AG,2012,community 1
"Murphy, EA
   Poblome, J 2012 Technical and Social Considerations of Tools from Roman-period Ceramic
   Workshops at Sagalassos (Southwest Turkey): Not Just Tools of the Trade? JOURNAL OF MEDITERRANEAN ARCHAEOLOGY",GOSDEN C 1999 WORLD ARCHAEOL V31 P169,2012,community 1
"Murphy, EA
   Poblome, J 2012 Technical and Social Considerations of Tools from Roman-period Ceramic
   Workshops at Sagalassos (Southwest Turkey): Not Just Tools of the Trade? JOURNAL OF MEDITERRANEAN ARCHAEOLOGY",KOPYTOFF IGOR 1986 SOCIAL LIFE THINGS C P64 DOI DOI 101017CBO9780511819582,2012,community 1
"Murphy, EA
   Poblome, J 2012 Technical and Social Considerations of Tools from Roman-period Ceramic
   Workshops at Sagalassos (Southwest Turkey): Not Just Tools of the Trade? JOURNAL OF MEDITERRANEAN ARCHAEOLOGY",RYE OS 1981 POTTERY TECHNOLOGY P,2012,community 17
"Boozer, AL 2012 Globalizing Mediterranean Identities: The Overlapping Spheres of
   Egyptian, Greek and Roman Worlds at Trimithis JOURNAL OF MEDITERRANEAN ARCHAEOLOGY",LIGHTFOOT KG 1998 AM ANTIQUITY V63 P199 DOI 1023072694694,2012,community 1
"Roura, RM 2012 Being there: examining the behaviour of Antarctic tourists through their
   blogs POLAR RESEARCH",SCHIFFER M B 1987 FORMATION PROCESSES,2012,community 12
"Benz, M
   Coskun, A
   Hajdas, I
   Deckers, K
   Riehl, S
   Alt, KW
   Weninger, B
   Ozkaya, V 2012 METHODOLOGICAL IMPLICATIONS OF NEW RADIOCARBON DATES FROM THE EARLY
   HOLOCENE SITE OF KORTIK TEPE, SOUTHEAST ANATOLIA RADIOCARBON",RAMSEY CB 1995 RADIOCARBON V37 P425,2012,community 14
"Benz, M
   Coskun, A
   Hajdas, I
   Deckers, K
   Riehl, S
   Alt, KW
   Weninger, B
   Ozkaya, V 2012 METHODOLOGICAL IMPLICATIONS OF NEW RADIOCARBON DATES FROM THE EARLY
   HOLOCENE SITE OF KORTIK TEPE, SOUTHEAST ANATOLIA RADIOCARBON",RAMSEY CB 2009 RADIOCARBON V51 P337,2012,community 9
"Benz, M
   Coskun, A
   Hajdas, I
   Deckers, K
   Riehl, S
   Alt, KW
   Weninger, B
   Ozkaya, V 2012 METHODOLOGICAL IMPLICATIONS OF NEW RADIOCARBON DATES FROM THE EARLY
   HOLOCENE SITE OF KORTIK TEPE, SOUTHEAST ANATOLIA RADIOCARBON",REIMER PJ 2009 RADIOCARBON V51 P1111,2012,community 9
"Garfinkel, Y
   Streit, K
   Ganor, S
   Hasel, MG 2012 STATE FORMATION IN JUDAH: BIBLICAL TRADITION, MODERN HISTORICAL
   THEORIES, AND RADIOMETRIC DATES AT KHIRBET QEIYAFA RADIOCARBON",RAMSEY CB 2009 RADIOCARBON V51 P337,2012,community 9
"Garfinkel, Y
   Streit, K
   Ganor, S
   Hasel, MG 2012 STATE FORMATION IN JUDAH: BIBLICAL TRADITION, MODERN HISTORICAL
   THEORIES, AND RADIOMETRIC DATES AT KHIRBET QEIYAFA RADIOCARBON",REIMER PJ 2009 RADIOCARBON V51 P1111,2012,community 9
"Kutschera, W
   Bietak, M
   Wild, EM
   Ramsey, CB
   Dee, M
   Golser, R
   Kopetzky, K
   Stadler, P
   Steier, P
   Thanheiser, U
   Weninger, F 2012 THE CHRONOLOGY OF TELL EL-DABA: A CRUCIAL MEETING POINT OF C-14 DATING,
   ARCHAEOLOGY, AND EGYPTOLOGY IN THE 2ND MILLENNIUM BC RADIOCARBON",RAMSEY CB 2009 RADIOCARBON V51 P337,2012,community 9
"Kutschera, W
   Bietak, M
   Wild, EM
   Ramsey, CB
   Dee, M
   Golser, R
   Kopetzky, K
   Stadler, P
   Steier, P
   Thanheiser, U
   Weninger, F 2012 THE CHRONOLOGY OF TELL EL-DABA: A CRUCIAL MEETING POINT OF C-14 DATING,
   ARCHAEOLOGY, AND EGYPTOLOGY IN THE 2ND MILLENNIUM BC RADIOCARBON",REIMER PJ 2009 RADIOCARBON V51 P1111,2012,community 9
"Wiener, MH 2012 PROBLEMS IN THE MEASUREMENT, CALIBRATION, ANALYSIS, AND COMMUNICATION OF
   RADIOCARBON DATES (WITH SPECIAL REFERENCE TO THE PREHISTORY OF THE
   AEGEAN WORLD) RADIOCARBON",REIMER PJ 2004 RADIOCARBON V46 P1029,2012,community 14
"Wiener, MH 2012 PROBLEMS IN THE MEASUREMENT, CALIBRATION, ANALYSIS, AND COMMUNICATION OF
   RADIOCARBON DATES (WITH SPECIAL REFERENCE TO THE PREHISTORY OF THE
   AEGEAN WORLD) RADIOCARBON",STUIVER M 1998 RADIOCARBON V40 P1041,2012,community 25
"Hoeflmayer, F 2012 THE DATE OF THE MINOAN SANTORINI ERUPTION: QUANTIFYING THE ""OFFSET"" RADIOCARBON",RAMSEY CB 2009 RADIOCARBON V51 P337,2012,community 9
"Hoeflmayer, F 2012 THE DATE OF THE MINOAN SANTORINI ERUPTION: QUANTIFYING THE ""OFFSET"" RADIOCARBON",REIMER PJ 2009 RADIOCARBON V51 P1111,2012,community 9
"Manning, SW
   Kromer, B 2012 CONSIDERATIONS OF THE SCALE OF RADIOCARBON OFFSETS IN THE EAST
   MEDITERRANEAN, AND CONSIDERING A CASE FOR THE LATEST (MOST RECENT)
   LIKELY DATE FOR THE SANTORINI ERUPTION RADIOCARBON",RAMSEY CB 1995 RADIOCARBON V37 P425,2012,community 14
"Manning, SW
   Kromer, B 2012 CONSIDERATIONS OF THE SCALE OF RADIOCARBON OFFSETS IN THE EAST
   MEDITERRANEAN, AND CONSIDERING A CASE FOR THE LATEST (MOST RECENT)
   LIKELY DATE FOR THE SANTORINI ERUPTION RADIOCARBON",RAMSEY CB 2009 RADIOCARBON V51 P337,2012,community 9
"Manning, SW
   Kromer, B 2012 CONSIDERATIONS OF THE SCALE OF RADIOCARBON OFFSETS IN THE EAST
   MEDITERRANEAN, AND CONSIDERING A CASE FOR THE LATEST (MOST RECENT)
   LIKELY DATE FOR THE SANTORINI ERUPTION RADIOCARBON",REIMER PJ 2009 RADIOCARBON V51 P1111,2012,community 9
"Engovatova, AV
   Zaitseva, GI
   Dobrovolskaya, MV
   Burova, ND 2012 POTENTIAL OF THE RADIOCARBON METHOD FOR DATING KNOWN HISTORICAL EVENTS:
   THE CASE OF YAROSLAVL, RUSSIA RADIOCARBON",REIMER PJ 2009 RADIOCARBON V51 P1111,2012,community 9
"Cook, GT
   Higham, TFG
   Naysmith, P
   Brock, F
   Freeman, SPHT
   Bayliss, A 2012 ASSESSMENT OF INFINITE-AGE BONES FROM THE UPPER THAMES VALLEY, UK, AS
   C-14 BACKGROUND STANDARDS RADIOCARBON",AMBROSE SH 1990 J ARCHAEOL SCI V17 P431 DOI 101016030544039090007R,2012,community 3
"Cook, GT
   Higham, TFG
   Naysmith, P
   Brock, F
   Freeman, SPHT
   Bayliss, A 2012 ASSESSMENT OF INFINITE-AGE BONES FROM THE UPPER THAMES VALLEY, UK, AS
   C-14 BACKGROUND STANDARDS RADIOCARBON",BROWN TA 1988 RADIOCARBON V30 P171,2012,community 3
"Cook, GT
   Higham, TFG
   Naysmith, P
   Brock, F
   Freeman, SPHT
   Bayliss, A 2012 ASSESSMENT OF INFINITE-AGE BONES FROM THE UPPER THAMES VALLEY, UK, AS
   C-14 BACKGROUND STANDARDS RADIOCARBON",VAN KLINKEN GJ 1999 J ARCHAEOL SCI V26 P687 DOI 101006JASC19980385,2012,community 3
"Taylor, RE
   Southon, J 2012 ON THE RESOLUTION OF C-14 DATING ANOMALIES: CASE STUDIES FROM NEW WORLD
   ARCHAEOLOGY RADIOCARBON",BROWN TA 1988 RADIOCARBON V30 P171,2012,community 3
"Morgan, C
   Eve, S 2012 DIY and digital archaeology: what are you doing to participate? WORLD ARCHAEOLOGY",SHANKS M 1987 RECONSTRUCTING ARCHA,2012,community 5
"Ducke, B 2012 Natives of a connected world: free and open source software in
   archaeology WORLD ARCHAEOLOGY",CONOLLY J 2006 GEOGRAPHICAL INFORM,2012,community 23
"Harris, TM 2012 Interfacing archaeology and the world of citizen sensors: exploring the
   impact of neogeography and volunteered geographic information on an
   authenticated archaeology WORLD ARCHAEOLOGY",CONOLLY J 2006 GEOGRAPHICAL INFORM,2012,community 23
"Harris, TM 2012 Interfacing archaeology and the world of citizen sensors: exploring the
   impact of neogeography and volunteered geographic information on an
   authenticated archaeology WORLD ARCHAEOLOGY",WHEATLEY D 2002 SPATIAL TECHNOLOGY A,2012,community 23
"Beale, N 2012 How community archaeology can make use of open data to achieve further
   its objectives WORLD ARCHAEOLOGY",MARSHALL Y 2002 WORLD ARCHAEOL V34 P211 DOI 1010800043824022000007062,2012,community 30
"Beale, N 2012 How community archaeology can make use of open data to achieve further
   its objectives WORLD ARCHAEOLOGY",MOSER S 2002 WORLD ARCHAEOL V34 P220 DOI 1010800043824022000007071,2012,community 30
"Kalmring, S 2012 The Birka Proto-Town GIS - A Source for Comprehensive Studies of Bjorko FORNVANNEN-JOURNAL OF SWEDISH ANTIQUARIAN RESEARCH",CONOLLY J 2006 GEOGRAPHICAL INFORM,2012,community 23
"Barcelo, JA
   de Almeida, VM 2012 FUNCTIONAL ANALYSIS FROM VISUAL AND NON-VISUAL DATA. AN ARTIFICIAL
   INTELLIGENCE APPROACH MEDITERRANEAN ARCHAEOLOGY & ARCHAEOMETRY",DUNNELL RC 1978 AM ANTIQUITY V43 P192 DOI 102307279244,2012,community 2
"Barcelo, JA
   de Almeida, VM 2012 FUNCTIONAL ANALYSIS FROM VISUAL AND NON-VISUAL DATA. AN ARTIFICIAL
   INTELLIGENCE APPROACH MEDITERRANEAN ARCHAEOLOGY & ARCHAEOMETRY",SEMENOV SA 1964 PREHISTORIC TECHNOLO,2012,community 20
"Cakirlar, C 2012 Neolithic Dairy Technology at the European-Anatolian Frontier:
   Implications of Archaeozoological Evidence from Ulucak Hoyuk, Izmir,
   Turkey, ca. 7000-5700 cal. BC ANTHROPOZOOLOGICA",LYMAN RL 2008 CAMB MAN ARCHAEOL P1 DOI 101017CBO9780511813863,2012,community 4
"Cakirlar, C 2012 Neolithic Dairy Technology at the European-Anatolian Frontier:
   Implications of Archaeozoological Evidence from Ulucak Hoyuk, Izmir,
   Turkey, ca. 7000-5700 cal. BC ANTHROPOZOOLOGICA",LYMAN R L 1994 VERTEBRATE TAPHONOMY,2012,community 4
"Ammann, FG 2012 Besieged Genoese: An Archaeological Glimpse of the Slave Trade in
   Late-Seventeenth-Century Panama HISTORICAL ARCHAEOLOGY",FERGUSON L 1992 UNCOMMON GROUND ARCH,2012,community 33
"Ammann, FG 2012 Besieged Genoese: An Archaeological Glimpse of the Slave Trade in
   Late-Seventeenth-Century Panama HISTORICAL ARCHAEOLOGY",LATOUR BRUNO 1993 WE HAVE NEVER BEEN M,2012,community 1
"Ammann, FG 2012 Besieged Genoese: An Archaeological Glimpse of the Slave Trade in
   Late-Seventeenth-Century Panama HISTORICAL ARCHAEOLOGY",SINGLETON TA 1995 ANNU REV ANTHROPOL V24 P119,2012,community 33
"Ammann, FG 2012 Besieged Genoese: An Archaeological Glimpse of the Slave Trade in
   Late-Seventeenth-Century Panama HISTORICAL ARCHAEOLOGY",THOMAS NICHOLAS 1991 ENTANGLED OBJECTS EX,2012,community 6
"Delaunay, AN 2012 Disarticulation of Aonikenk Hunter-Gatherer Lifeways during the Late
   Nineteenth and Early Twentieth Centuries: Two Case Studies from
   Argentinean Patagonia HISTORICAL ARCHAEOLOGY",LIGHTFOOT KG 1995 AM ANTIQUITY V60 P199 DOI 102307282137,2012,community 6
"Boldurian, AT
   McKeel, JD
   Pickel, MG 2012 GIFTS FROM AN ARCHAEOLOGIST'S BOOKCASE: JOHN L. COTTER'S LIBRARY NORTH AMERICAN ARCHAEOLOGIST",SCHIFFER MB 1972 AM ANTIQUITY V37 P156 DOI 102307278203,2012,community 12
"Molloy, BPC 2012 MARTIAL MINOANS? WAR AS SOCIAL PROCESS, PRACTICE AND EVENT IN BRONZE AGE
   CRETE ANNUAL OF THE BRITISH SCHOOL AT ATHENS",BOURDIEU PIERRE 1977 OUTLINE THEORY PRACT,2012,community 1
"Hill, E 2012 The Nonempirical Past: Enculturated Landscapes and Other-than-Human
   Persons in Southwest Alaska ARCTIC ANTHROPOLOGY",BRADLEY RICHARD 2000 ARCHAEOLOGY NATURAL,2012,community 1
"Hill, E 2012 The Nonempirical Past: Enculturated Landscapes and Other-than-Human
   Persons in Southwest Alaska ARCTIC ANTHROPOLOGY",OLSEN B 2010 DEFENSE THINGS ARCHA,2012,community 1
"Jensen, AM 2012 The Material Culture of Inupiat Whaling: An Ethnographic and
   Ethnohistorical Perspective ARCTIC ANTHROPOLOGY",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,2012,community 5
"Jensen, AM 2012 The Material Culture of Inupiat Whaling: An Ethnographic and
   Ethnohistorical Perspective ARCTIC ANTHROPOLOGY",LIGHTFOOT KG 1995 AM ANTIQUITY V60 P199 DOI 102307282137,2012,community 6
"Marshall, LW 2012 Typological and Interpretive Analysis of a 19th-Century Bead Cache in
   Coastal Kenya JOURNAL OF AFRICAN ARCHAEOLOGY",HORTON M 1996 SHANGA ARCHAEOLOGY M,2012,community 19
"Fleisher, J
   Wynne-Jones, S
   Steele, C
   Welham, K 2012 Geophysical Survey at Kilwa Kisiwani, Tanzania JOURNAL OF AFRICAN ARCHAEOLOGY",HORTON M 2000 SWAHILI SOCIAL LANDS,2012,community 19
"Fleisher, J
   Wynne-Jones, S
   Steele, C
   Welham, K 2012 Geophysical Survey at Kilwa Kisiwani, Tanzania JOURNAL OF AFRICAN ARCHAEOLOGY",HORTON M 1996 SHANGA ARCHAEOLOGY M,2012,community 19
"Harper, RK 2012 ""Their Houses are Ancient and Ordinary"": Archaeology and Connecticut's
   Eighteenth-Century Domestic Architecture HISTORICAL ARCHAEOLOGY",DEETZ J 1977 SMALL THINGS FORGOTT,2012,community 13
"Payne, M 2012 Pueblo Potsherds to Silver Spoons: A Case Study in Historical
   Archaeology from New Mexico HISTORICAL ARCHAEOLOGY",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,2012,community 5
"Wood, MC 2012 Mapping the Complexities of Race on the Landscape of the Colonial
   Caribbean, United States Virgin Islands, 1770-1917 HISTORICAL ARCHAEOLOGY",BOURDIEU PIERRE 1990 LOGIC PRACTICE,2012,community 1
"Sayers, DO 2012 Marronage Perspective for Historical Archaeology in the United States HISTORICAL ARCHAEOLOGY",FERGUSON L 1992 UNCOMMON GROUND ARCH,2012,community 33
"Sayers, DO 2012 Marronage Perspective for Historical Archaeology in the United States HISTORICAL ARCHAEOLOGY",ORSER C 1996 HIST ARCHAEOLOGY MOD,2012,community 13
"Sayers, DO 2012 Marronage Perspective for Historical Archaeology in the United States HISTORICAL ARCHAEOLOGY",SINGLETON TA 1995 ANNU REV ANTHROPOL V24 P119,2012,community 33
